doctor_id,days_per_week,shift_duration_hours,shift_start_time,shift_end_time
D1,4,10,09:00,19:00
D2,5,8,08:00,16:00
D3,4,8,08:00,16:00
D4,4,10,09:00,19:00
D5,4,8,09:00,17:00
D6,5,10,08:00,18:00
D7,4,9,09:00,18:00
D8,4,8,08:00,16:00
D9,4,9,09:00,18:00
D10,5,10,09:30,19:30
D11,4,9,09:30,18:30
D12,4,9,09:30,18:30
D13,4,10,09:30,19:30
D14,4,9,09:30,18:30
D15,5,9,08:00,17:00
D16,4,10,09:30,19:30
D17,5,9,09:30,18:30
D18,5,10,09:30,19:30
D19,5,9,09:30,18:30
D20,4,10,09:00,19:00
D21,5,10,08:00,18:00
D22,4,9,09:30,18:30
D23,5,9,09:30,18:30
D24,5,9,09:30,18:30
D25,5,8,08:00,16:00
D26,5,8,09:00,17:00
D27,5,8,08:00,16:00
D28,5,10,09:00,19:00
D29,5,9,09:30,18:30
D30,5,10,09:30,19:30
D31,4,8,08:00,16:00
D32,4,9,08:00,17:00
D33,5,10,09:00,19:00
D34,5,9,09:00,18:00
D35,5,10,08:00,18:00
D36,4,9,09:00,18:00
D37,5,8,08:00,16:00
D38,4,8,09:00,17:00
D39,4,9,08:00,17:00
D40,4,10,08:00,18:00
D41,4,8,08:00,16:00
D42,4,8,09:00,17:00
D43,5,8,09:00,17:00
D44,5,9,09:00,18:00
D45,5,9,08:00,17:00
D46,5,10,09:00,19:00
D47,5,10,09:00,19:00
D48,4,10,08:00,18:00
D49,5,9,09:30,18:30
D50,5,9,08:00,17:00
D51,4,10,09:00,19:00
D52,5,10,08:00,18:00
D53,4,9,09:30,18:30
D54,5,10,08:00,18:00
D55,4,8,09:00,17:00
D56,5,9,09:30,18:30
D57,5,10,09:00,19:00
D58,4,9,09:30,18:30
D59,4,8,09:30,17:30
D60,4,9,08:00,17:00
D61,4,9,08:00,17:00
D62,4,9,09:00,18:00
D63,4,9,08:00,17:00
D64,4,8,08:00,16:00
D65,4,9,09:30,18:30
D66,5,9,08:00,17:00
D67,5,10,09:30,19:30
D68,4,9,09:30,18:30
D69,5,10,09:30,19:30
D70,5,8,09:00,17:00
D71,5,8,09:00,17:00
D72,5,8,09:00,17:00
D73,4,8,09:30,17:30
D74,5,10,09:00,19:00
D75,4,9,09:00,18:00
D76,5,8,08:00,16:00
D77,5,9,09:00,18:00
D78,5,10,09:00,19:00
D79,4,10,09:30,19:30
D80,5,10,09:30,19:30
D81,4,8,09:30,17:30
D82,5,9,09:30,18:30
D83,4,9,09:30,18:30
D84,5,9,09:30,18:30
D85,4,10,09:00,19:00
D86,4,8,09:30,17:30
D87,5,10,09:30,19:30
D88,4,10,08:00,18:00
D89,5,9,09:00,18:00
D90,5,10,09:00,19:00
D91,5,9,09:00,18:00
D92,5,8,09:30,17:30
D93,5,9,09:30,18:30
D94,5,8,09:30,17:30
D95,5,9,08:00,17:00
D96,5,10,09:30,19:30
D97,5,10,08:00,18:00
D98,5,8,09:00,17:00
D99,5,8,09:30,17:30
D100,4,8,08:00,16:00
D101,4,9,08:00,17:00
D102,5,9,09:30,18:30
D103,5,8,09:00,17:00
D104,5,10,09:00,19:00
D105,5,9,09:00,18:00
D106,5,9,08:00,17:00
D107,5,9,08:00,17:00
D108,5,8,08:00,16:00
D109,5,8,08:00,16:00
D110,4,8,09:00,17:00
D111,5,8,09:30,17:30
D112,4,8,08:00,16:00
D113,5,10,08:00,18:00
D114,5,10,09:00,19:00
D115,4,8,09:30,17:30
D116,5,9,09:30,18:30
D117,4,8,09:00,17:00
D118,5,10,09:00,19:00
D119,5,10,09:30,19:30
D120,4,9,08:00,17:00
D121,5,10,09:30,19:30
D122,4,8,09:00,17:00
D123,5,9,08:00,17:00
D124,4,8,08:00,16:00
D125,4,8,09:00,17:00
D126,5,9,09:00,18:00
D127,5,8,09:00,17:00
D128,4,10,09:30,19:30
D129,5,8,09:30,17:30
D130,5,9,08:00,17:00
D131,5,9,09:00,18:00
D132,4,9,08:00,17:00
D133,4,8,08:00,16:00
D134,4,9,08:00,17:00
D135,4,9,08:00,17:00
D136,4,8,09:00,17:00
D137,4,10,08:00,18:00
D138,4,8,09:00,17:00
D139,4,9,09:00,18:00
D140,4,9,09:30,18:30
D141,5,8,09:00,17:00
D142,4,10,09:30,19:30
D143,5,9,09:00,18:00
D144,5,9,09:00,18:00
D145,5,9,09:00,18:00
D146,4,8,09:30,17:30
D147,4,9,09:30,18:30
D148,4,10,08:00,18:00
D149,4,9,09:30,18:30
D150,5,9,09:30,18:30
D151,4,10,09:30,19:30
D152,4,9,09:30,18:30
D153,4,8,08:00,16:00
D154,4,8,09:30,17:30
D155,4,8,09:00,17:00
D156,5,10,09:00,19:00
D157,4,9,09:30,18:30
D158,5,8,09:30,17:30
D159,4,10,09:00,19:00
D160,5,9,09:00,18:00
D161,4,10,08:00,18:00
D162,4,8,09:00,17:00
D163,5,8,09:00,17:00
D164,5,8,09:30,17:30
D165,5,10,09:00,19:00
D166,4,10,08:00,18:00
D167,5,8,09:00,17:00
D168,4,10,09:30,19:30
D169,4,8,09:30,17:30
D170,5,8,09:00,17:00
D171,5,9,09:30,18:30
D172,4,10,08:00,18:00
D173,4,8,08:00,16:00
D174,5,8,09:00,17:00
D175,5,10,09:00,19:00
D176,5,9,09:00,18:00
D177,4,9,09:30,18:30
D178,4,8,08:00,16:00
D179,4,10,08:00,18:00
D180,4,9,09:30,18:30
D181,4,10,08:00,18:00
D182,4,10,09:00,19:00
D183,5,8,09:00,17:00
D184,4,9,09:00,18:00
D185,4,8,08:00,16:00
D186,4,9,09:00,18:00
D187,5,9,09:30,18:30
D188,4,9,09:30,18:30
D189,4,9,08:00,17:00
D190,5,9,09:30,18:30
D191,4,10,09:30,19:30
D192,4,8,08:00,16:00
D193,4,10,09:00,19:00
D194,4,9,09:00,18:00
D195,4,8,09:00,17:00
D196,5,9,08:00,17:00
D197,5,8,09:30,17:30
D198,5,10,09:00,19:00
D199,4,8,09:00,17:00
D200,4,8,08:00,16:00
D201,4,8,09:00,17:00
D202,5,8,08:00,16:00
D203,4,8,09:30,17:30
D204,4,9,08:00,17:00
D205,5,8,08:00,16:00
D206,4,8,08:00,16:00
D207,5,10,08:00,18:00
D208,5,8,09:30,17:30
D209,5,10,09:30,19:30
D210,4,9,09:00,18:00
D211,4,8,09:30,17:30
D212,4,10,09:30,19:30
D213,4,10,09:00,19:00
D214,4,9,09:30,18:30
D215,4,8,08:00,16:00
