doctor_id,total_appointments,completed_appointments,pending_appointments,cancelled_appointments,avg_consultation_minutes,avg_waiting_time_minutes,weekly_appointments,hours_per_week,workload_score,burnout_risk_score,burnout_risk_level
D1,203,60,75,68,26.857142857142858,29.748768472906406,1.2,40,3.0,118.4,High
D10,204,73,67,64,27.558823529411764,28.387254901960784,1.4,50,2.8,128.6,High
D100,176,49,58,69,26.829545454545453,25.414772727272727,0.9,32,2.8,100.2,High
D101,179,64,54,61,27.078212290502794,26.88268156424581,1.2,36,3.3,98.6,High
D102,205,69,63,73,27.946341463414633,24.385365853658538,1.3,45,2.9,118.4,High
D103,176,52,59,65,27.72159090909091,26.40909090909091,1.0,40,2.5,114.6,High
D104,196,77,62,57,26.48469387755102,27.489795918367346,1.5,50,3.0,125.3,High
D105,206,73,59,74,26.281553398058254,26.296116504854368,1.4,45,3.1,115.5,High
D106,178,64,61,53,27.308988764044944,27.280898876404493,1.2,45,2.7,119.5,High
D107,212,64,75,73,26.382075471698112,28.462264150943398,1.2,45,2.7,126.0,High
D108,190,57,65,68,27.021052631578947,26.626315789473683,1.1,40,2.8,115.0,High
D109,226,75,76,75,25.95575221238938,29.141592920353983,1.4,40,3.5,111.8,High
D11,200,64,61,75,26.47,24.9,1.2,36,3.3,101.8,High
D110,197,74,64,59,26.243654822335024,28.060913705583758,1.4,32,4.4,91.8,High
D111,179,55,61,63,27.664804469273744,26.379888268156424,1.1,40,2.8,114.1,High
D112,200,67,63,70,27.845,27.255,1.3,32,4.1,93.8,High
D113,208,71,80,57,26.951923076923077,30.307692307692307,1.4,50,2.8,134.7,High
D114,179,67,56,56,27.41340782122905,27.07262569832402,1.3,50,2.6,126.0,High
D115,176,63,53,60,26.306818181818183,26.454545454545453,1.2,32,3.8,90.7,High
D116,205,70,68,67,27.785365853658536,26.31219512195122,1.3,45,2.9,120.2,High
D117,217,66,83,68,27.28110599078341,28.36405529953917,1.3,32,4.1,103.2,High
D118,207,69,72,66,26.782608695652176,28.47342995169082,1.3,50,2.6,132.2,High
D119,210,75,61,74,26.795238095238094,26.31904761904762,1.4,50,2.8,125.5,High
D12,210,61,71,78,27.580952380952382,27.614285714285714,1.2,36,3.3,108.0,High
D120,193,62,64,67,26.860103626943005,25.202072538860104,1.2,36,3.3,104.1,High
D121,210,68,74,68,27.409523809523808,25.952380952380953,1.3,50,2.6,133.5,High
D122,199,65,72,62,26.597989949748744,26.894472361809044,1.2,32,3.8,98.6,High
D123,202,68,68,66,28.004950495049506,28.22772277227723,1.3,45,2.9,121.0,High
